sample,eem_location,abs_location,dilution,raman
B1Apr1822,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,11801.198
B1Dec0322,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,12549.831
B1Feb1623,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,12912.053
B1Feb2522,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,11682.91
B1Jan1923,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1.35,13457.922
B1July2822,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,4.47,12177.46
B1June2722,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,2.98,12177.46
B1Mar0323,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,12162.336
B1Mar2522,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1.51,12940.698
B1Nov1122,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1.75,12414.851
B1Oct0122,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1.59,13012.249
B1Oct3122,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,3.32,13680.514
B1Sept0622,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,2.22,12042.033
B2Apr1822,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,11801.198
B2Dec0322,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,12549.831
B2Feb1623,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,12912.053
B2Feb2522,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,11682.91
B2Jan1923,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1.16,13457.922
B2July2822,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,2.39,12177.46
B2June2222,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,4.82,11303.374
B2June2722,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,2.09,12177.46
B2Mar2522,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1.65,12940.698
B2Nov1122,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1.56,12414.851
B2Oct0122,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1.15,13012.249
B2Oct3122,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,3.15,13680.514
F1Apr1822,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,11801.198
F1Dec0322,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,12549.831
F1Feb1623,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,12912.053
F1Feb2522,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,11319.31
F1Jan1923,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,13457.922
F1July2822,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,2.07,12177.46
F1June2222,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1.27,11303.374
F1June2722,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,2.16,12177.46
F1Mar0323,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,12162.336
F1Mar2522,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1.42,12940.698
F1Nov1122,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1.24,12414.851
F1Oct0122,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1.31,13012.249
F1Oct3122,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,3.44,13680.514
F1Sept0622,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1.51,12042.033
L1Apr1822,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,11801.198
L1Dec0322,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1.29,12549.831
L1Feb2522,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,2.01,12918.571
L1Jan1923,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1.77,13457.922
L1July2822,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,2.24,12177.46
L1June2722,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,6.54,12177.46
L1Mar0323,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,12162.336
L1Mar2522,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,4.38,12940.698
L1Nov1122,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,2.35,12414.851
L1Oct0122,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1.67,13012.249
L1Oct3122,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,5.8,13680.514
L1Sept0622,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,2.32,12042.033
L2Apr1822,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,11801.198
L2Dec0322,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,3.05,12549.831
L2Feb1623,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,12912.053
L2Feb2522,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1.94,12918.571
L2Jan1923,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,3.66,13457.922
L2July2822,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1.93,12177.46
L2June2222,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,3.1,11303.374
L2June2722,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,12.675,12177.46
L2Mar0323,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,12162.336
L2Mar2522,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,2.81,12940.698
L2Nov1122,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,5.75,12414.851
L2Oct0122,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,4.22,13012.249
L2Sept0622,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,5.9,12042.033
P1Apr1822,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,2.97,11801.198
P1Dec0322,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,19.93,12549.831
P1Feb1623,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,12912.053
P1Feb2522,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,9.02,12363.155
P1Jan1923,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,4.84,13457.922
P1June2222,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,7.22,11303.374
P1June2722,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,6.99,12177.46
P1Mar0323,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,12162.336
P1Mar2522,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,9.91,12940.698
P1Nov1122,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,20.16,12549.831
P1Oct0122,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,10.79,13012.249
P1Sept0622,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,12.75,12042.033
P2Apr1822,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,2.39,11801.198
P2Dec0322,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,11.04,12549.831
P2Feb2522,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,12.22,12363.155
P2Jan1923,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,4.88,13457.922
P2July2822,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,4.6,12177.46
P2June2222,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,7.77,11303.374
P2June2722,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,3.87,12177.46
P2Mar0323,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,12162.336
P2Mar2522,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,8,12940.698
P2Nov1122,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,9.79,12414.851
P2Oct0122,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,7.47,13012.249
P2Sept0622,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,8.09,12042.033
F2Apr1822,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,11801.198
F2Dec0322,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,12549.831
F2Feb1623,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,12912.053
F2Feb2522,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,11319.31
F2Jan1923,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,13457.922
F2July2822,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,4.5,12177.46
F2June2222,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,11303.374
F2June2722,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1.33,12177.46
F2Mar0323,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,12162.336
F2Mar2522,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1.24,12940.698
F2Nov1122,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,12414.851
F2Oct0122,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,13012.249
F2Oct3122,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,2.21,13680.514
F2Sept0622,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,12042.033
B3Apr1822,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,11801.198
B3Dec0322,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,12549.831
B3Feb1623,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,12912.053
B3Feb2522,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,11682.91
B3Jan1923,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1.33,13457.922
B3July2822,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,3.85,12177.46
B3June2222,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1.93,11303.374
B3June2722,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1.94,12177.46
b3Mar0323,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,12162.336
B3Mar2522,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1.65,12940.698
B3Nov1122,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1.51,12414.851
B3Oct0122,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1.14,13012.249
B3Oct3122,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,2.75,13680.514
B3Sept0622,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1.71,12042.033
F3Apr1822,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,11801.198
F3Dec0322,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,12549.831
F3Feb1623,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,12912.053
F3Feb2522,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,11319.31
F3Jan1923,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,13457.922
F3July2822,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,6.15,12177.46
F3June2222,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1.15,11303.374
F3June2722,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1.24,12177.46
F3Mar0323,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,12162.336
F3Mar2522,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1.4,12940.698
F3Nov1122,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,12414.851
F3Oct3122,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,2.68,13680.514
F3Sept0622,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,12042.033
L3Apr1822,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1.13,11801.198
L3Dec0322,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,2.69,12549.831
L3Feb1623,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,12912.053
L3Feb2522,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,33.3,12918.571
L3Jan1923,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,3.2,13457.922
L3June2222,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,2.96,11303.374
L3June2722,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,10.34,12177.46
L3Mar0323,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,12162.336
L3Mar2522,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,2.97,12940.698
L3Nov1122,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,3.06,12414.851
L3Oct0122,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,2.69,13012.249
L3Sept0622,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,3.7,12042.033
P3Apr1822,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,5.43,11801.198
P3Feb1623,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,12912.053
P3Feb2522,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1.59,12363.16
P3Jan1923,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,5.56,13457.922
P3July2822,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,4.36,12177.46
P3June2222,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,8.18,11303.374
P3June2722,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,4.27,12177.46
P3Mar0323,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,1,12162.336
P3Mar2522,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,9.88,12940.698
P3Nov1122,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,5.85,12414.851
P3Oct0122,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,5.54,13012.249
P3Sept0622,C:\Users\robo1\OneDrive\Desktop\PARAFAC\data,<NA>,6.38,12042.033
